title,year,director,actor1,actor2,genre,rating,country,releasedate
"And, There You Are",2010,Doug Sebastian,Jeffrey Ordonez,Davey Sheffield,Comedy,3.8,USA,8-Jun-10
You Are Your Body/You Are Not Your Body,2014,None,Amara Gyulai,Deborah Jensen,Drama,4.7,USA,2014
Less Than a Whisper,2015,Francis Xavier,Mindy Robinson,Lisa London,Drama,6.2,USA,NA
American Bad Boy,2015,None,Katt Williams,Obba Babatund̩,Drama,4.9,USA,2-Jun-15
Snowball Express,1972,Norman Tokar,Dean Jones,Nancy Olson,Comedy,6.5,USA,12-Feb-73
The Bikini Carwash Company,1992,Ed Hansen,Joe Dusic,Kristi Ducati,Comedy,4.6,USA,17-Jun-92
Burning Desires,2002,J. Edie Martin,Kirstin Pierce,Jason Schnuit,Action,5,USA,15-Mar-02
Robot Stories,2003,Greg Pak,Tamlyn Tomita,James Saito,Drama,5.8,USA,20-Jan-03
Missionary,2013,Anthony DiBlasi,Dawn Olivieri,Mitch Ryan,Drama,5.2,USA,27-Oct-13
Dave O'Shea's Day Job,2012,None,Dave O'Shea,Dominic Casazza,Horror,7.6,USA,13-Oct-12
"Elliot Fauman, Ph.D.",1990,Ric Klass,Randy Lowell,Tim Abell,Comedy,2.7,USA,23-Mar-90
Dishdogz,2005,Mikey Hilb,Marshall Allman,Haylie Duff,Action,5.5,USA,2005
Comeback Dad,2014,Russ Parr,Donna Biscoe,Elizabeth Omilami,Drama,6.4,USA,21-Jun-14
Colin Fitz Lives!,1997,Robert Bella,John C. McGinley,Matt McGrath,Comedy,6,USA,1997
Black Silk Stockings,1978,Chris Warfield,Joey Silvera,Debbie Wilson,Adult,5.6,USA,7-Jul-78
Available,2016,Les Mahoney,Maria Olsen,Yangzom Brauen,Drama,5.5,USA,17-Mar-16
Middle of Nowhere,2008,John Stockwell,Eva Amurri Martino,Anton Yelchin,Comedy,6.5,USA,13-Jul-10
Twelfth Night,2014,Catherine Taormina,Jonathan Addeo,Nick Addeo,Drama,8.4,USA,4-Apr-14
Last Hours in Suburbia,2012,John Stimpson,Landry Allbright,Liz Vassey,Crime,5.6,USA,22-Sep-12
Sylvester,1985,Tim Hunter,Richard Farnsworth,Melissa Gilbert,Drama,6.5,USA,15-Mar-85
Rosemont,2015,Daniel Petrie Jr.,Lochlyn Munro,Brad Dourif,Drama,6.4,USA,21-Nov-15
Synapse,2015,Kenlon Clark,Sophina Brown,Henry Simmons,Sci-Fi,5.8,USA,2015
Heading Home,1995,Maria Heritier,Mary Alice,Frankie Faison,Drama,5.8,USA,8-Apr-95
Night of the Living Debbies,1989,Henri Pachard,Lynn LeMay,Porsche Lynn,Adult,7.4,USA,NA
Radio Dreams,2016,Babak Jalali,Larry Laverty,Kyle Kernan,Comedy,6,USA,19-May-17
Coffee Town,2013,None,Glenn Howerton,Steve Little,Comedy,6.6,USA,9-Jul-13
Baby Mama,2008,Michael McCullers,Tina Fey,Amy Poehler,Comedy,6,USA,25-Apr-08
Sex Files: Ancient Desires,2000,Clinton J. Williams,T. Midnight,Daniel Anderson,Fantasy,4.5,USA,14-Oct-00
The Lonely Lady,1983,Peter Sasdy,Pia Zadora,Lloyd Bochner,Drama,2.7,USA,30-Sep-83
Mad Families,2017,Fred Wolf,Charlie Sheen,Leah Remini,Comedy,4.1,USA,12-Jan-17
It's About Time,2005,Kevin Shinick,Paul Bartholomew,Jennifer Carta,Comedy,6.8,USA,10-Apr-05
Time Again,2011,None,Scott F. Evans,John T. Woods,Action,5.4,USA,26-Jul-11
Irrational Man,2015,Woody Allen,Joaquin Phoenix,Emma Stone,Comedy,6.6,USA,7-Aug-15
Five-O,2016,Derek Scott,Thomas L. Harris,Martell Lane,Action,3.4,USA,9-Apr-16
Take One,1977,Wakefield Poole,Jeff Addison,Philip Borden,Adult,6,USA,Aug-77
Farewell to Harry,2002,Garrett Bennett,Joe Flanigan,William Hall Jr.,Drama,7.1,USA,5-Apr-02
Bobby,2006,Emilio Estevez,Anthony Hopkins,Demi Moore,Biography,7,USA,23-Nov-06
The Arcadian,2011,Dekker Dreyer,Sab Shimono,Bill Cobbs,Sci-Fi,5,USA,12-Dec-16
Taste of the Best,1988,None,Herschel Savage,Bunny Bleu,Adult,7.3,USA,NA
The Great Lester Boggs,1974,Harry Thomason,Scott McKenzie,Robert Ridgely,Drama,4.8,USA,Sep-74
Betaville,2001,Tom Small,John Astin,Lou Rawls,Comedy,3.2,USA,NA
Wise Guys,1986,Brian De Palma,Danny DeVito,Joe Piscopo,Comedy,5.6,USA,18-Apr-86
Who's That Knocking at My Door,1967,Martin Scorsese,Harvey Keitel,Zina Bethune,Drama,6.8,USA,20-Jan-78
Alpha Male,2006,Dan Wilde,Jennifer Ehle,Patrick Baladi,Drama,5.6,USA,18-Mar-08
Death's Door,2008,George Scileppi,Sewell Whitney,Alicia Petrides,Horror,4.8,USA,May-13
The Red Thread,2016,Andres Hernandez,Maricruz Ramirez,Armaan Khera,Drama,7.6,USA,20-Dec-16
Vampyre,1990,Bruce G. Hallenbeck,Randy Scott Rolzer,Cathy Seyler,Horror,3.3,USA,Sep-90
"Sex, Shoes & Unicorns",2005,Angelo Bell,Tammi Rashonda,Cherish Hamutoff,Comedy,7.3,USA,5-Feb-05
The Life and Death of Julian Finn,2016,Erin Dinsmore,Tim Drier,Thomas F. Evans,Drama,8.7,USA,1-Jun-16
Dreams and Nightmares,1974,Lawrence Klingman,Abe Osheroff,Sally Smaller,Documentary,8.5,USA,24-Apr-74
Jay and Silent Bob Strike Back,2001,None,Jason Mewes,Kevin Smith,Comedy,6.9,USA,24-Aug-01
Vampire Night,2000,Jason Robert Stephens,Jimmy Jerman,Eden Rae,Comedy,5.1,USA,NA
The Heart Is a Lonely Hunter,1968,Robert Ellis Miller,Alan Arkin,Sondra Locke,Drama,7.7,USA,31-Jul-68
The Family,2013,None,Zack Slort,Jordan Hopewell,Comedy,7.9,USA,16-Jan-13
Macon County Jail,1997,Victoria Muspratt,Ally Sheedy,David Carradine,Crime,4.4,USA,NA
The Utopian Society,2003,John P. Aguirre,Austin Nichols,Sam Doumit,Comedy,4.4,USA,20-Apr-06
The Listing,2017,Mario Cerrito,Jessica Cameron,Frank Modica,Thriller,8.4,USA,22-Jun-17
#SquadGoals,2018,Danny J. Boyle,Corey Fogelmanis,Pedro Correa,Drama,8.9,USA,16-Jan-18
The Elevator,1996,Rafal Zielinski,Martin Landau,Gabriel Bologna,Comedy,4.5,USA,1998
The Playboys,1992,Gillies MacKinnon,Albert Finney,Aidan Quinn,Drama,6.4,USA,22-Apr-92
Never Look Back,2000,None,Frank Zagarino,Charles Napier,Action,4.8,USA,NA
The Firm,1993,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Drama,6.8,USA,30-Jun-93
The Girls' Room,2000,Irene Turner,Soleil Moon Frye,Wil Wheaton,Comedy,5,USA,3-Mar-00
Drop Dead Sexy,2005,None,Jason Lee,Crispin Glover,Comedy,5,USA,12-Mar-05
Enormous Changes at the Last Minute,1983,Muffie Meyer,Maria Tucci,David Strathairn,Drama,5.4,USA,11-Apr-85
iChannel,2006,Craig DiFolco,Sebastian Arcelus,Brian Avers,Comedy,5.1,USA,15-Nov-06
The Sinking of Santa Isabel,2008,Michael Hamblin,Maclain Nelson,Jake Suazo,Comedy,7,USA,2-Mar-08
Desert Fox,2009,None,Rebecca Cardon,Mark Irvingsen,Action,7.1,USA,31-Dec-09
The Paper,1994,Ron Howard,Michael Keaton,Glenn Close,Comedy,6.6,USA,25-Mar-94
Black Water Creek,2014,Mark Shell,Sabree Anderson,Johnny Blankenship,Crime,3.4,USA,22-Jul-14
B.R.O.O.D.,2013,None,Lior V. Bar-El,AJ Smith,Action,7,USA,7-Jun-13
Depression: The Movie,2012,Henrique Couto,Moriah Yux,Mike Canestaro,Comedy,6.4,USA,21-Sep-12
The Sporting Club,1971,Larry Peerce,Robert Fields,Nicolas Coster,Comedy,5.2,USA,28-Feb-71
Whirlygirl,2006,Jim Wilson,Monet Mazur,Julian Morris,Drama,5.9,USA,6-Mar-07
Cruelty,2017,Joshua F. Leonard,Kristen Zaik,Joseph Eid,Crime,7.2,USA,Jan-17
Fast Five,2011,Justin Lin,Vin Diesel,Paul Walker,Action,7.3,USA,29-Apr-11
The List of Adrian Messenger,1963,John Huston,Kirk Douglas,Robert Mitchum,Mystery,7,USA,10-Jun-63
Peek Freak,1971,None,Rick Conlin,Ron Darby,Adult,5.2,USA,1971
Fugly!,2014,Alfredo Rodriguez de Villa,John Leguizamo,Radha Mitchell,Comedy,4.2,USA,5-Nov-14
Barry's Gift,1999,Francis Xavier,Lance Irwin,Richard Ruxton,Mystery,6.9,USA,NA
2:13,2009,Charles Adelman,Mark Thompson,Mark Pellegrino,Drama,4.9,USA,25-Apr-09
Rage of Vengeance,1993,Serge Rodnunsky,Peter Shane,Daming Chen,Action,2.9,USA,NA
Cadence,1990,None,Charlie Sheen,Martin Sheen,Drama,6.6,USA,15-Feb-91
Million Dollar Baby,2004,None,Hilary Swank,Clint Eastwood,Drama,8.1,USA,28-Jan-05
Five on the Black Hand Side,1973,Oscar Williams,Clarice Taylor,Leonard Jackson,Comedy,6.4,USA,25-Oct-73
Land of the Free?,2004,William A. Baker,Ernest Hardin Jr.,Jeff Marchelletta,Drama,7,USA,1-Apr-04
Lincoln and Lee at Antietam: The Cost of Freedom,2006,Robert Child,Chad O. Allen,Benjamin F. Black,Documentary,6.6,USA,31-Jan-06
Nandi,1998,Peggy Hayes,Deborah Duke,Tristan Hickey,Drama,8.7,USA,NA
The Oracle,1985,Roberta Findlay,Caroline Capers Powers,Roger Neil,Crime,3.2,USA,May-85
As the Spirit Moves You,1990,Michael Craig,Nina Hartley,Jon Dough,Adult,6.1,USA,24-Apr-00
Lost Souls,2000,Janusz Kaminski,Winona Ryder,Ben Chaplin,Drama,4.8,USA,13-Oct-00
Eve and the Handyman,1961,Russ Meyer,Joseph Carroll,Rita Day,Comedy,4.1,USA,5-May-61
Star Trek I: Specter of the Past,2010,None,Christopher Stadther,Brandon M. Bridges,Animation,6.5,USA,2-Oct-10
The Drum Beats Twice,2008,None,Amy Redford,Costas Mandylor,Drama,4.1,USA,15-Apr-08
The Chosen,1981,Jeremy Kagan,Maximilian Schell,Rod Steiger,Drama,7.1,USA,30-Apr-82
The Last Night Inn,2016,John Heath,Joe Penny,Marlene Mc'Cohen,Comedy,8.8,USA,20-Feb-16
Priceless,2008,None,Andr̩ Joseph,Tasha Perri,Crime,6.4,USA,10-Oct-08
My Fair Lady,1964,George Cukor,Audrey Hepburn,Rex Harrison,Drama,7.9,USA,25-Dec-64
The Lone Road,2016,Christopher Krueger,Roger Browne,Jake Jacobson,Action,7.1,USA,7-Mar-17
Crystal Force,1990,Laura Keats,Sharon Kane,Angst Argyle,Horror,3.3,USA,NA
Alternate Realities,2015,Amir Valinia,Tom Sizemore,Christopher Judge,Drama,5,USA,6-Oct-16
Springfield 61,2013,Ryan Thomas,Alex Allen,Drew Allen,Comedy,9.2,USA,NA
Manito,2002,Eric Eason,Leo Minaya,Jessica Morales,Drama,6.9,USA,15-Jan-02
Old Enough,1984,Marisa Silver,Rainbow Harvest,Neill Barry,Drama,6.5,USA,24-Aug-84
Gray Matters,2006,Sue Kramer,Heather Graham,Tom Cavanagh,Comedy,5.8,USA,13-Jul-07
Shelter Island,2003,None,Ally Sheedy,Patsy Kensit,Thriller,4,USA,15-Oct-03
Madam Satan,1970,Tom Gordon,Pamala Westcott,Susan Westcott,Horror,4.1,USA,NA
Isle of the Dead,2016,Nick Lyon,Joey Lawrence,Maryse Mizanin,Action,5.3,USA,18-Aug-16
Bootleg Wisconsin,2008,Brandon Linden,Lepolion Henderson,Angela Harris,Drama,7.6,USA,7-Mar-08
The Ultimate Thrill,1974,Robert Butler,Barry Brown,Britt Ekland,Crime,6,USA,Oct-74
If Not for His Grace,2015,Dennis Rowe,Zachary Williams,Chelsea Tavares,Drama,6.2,USA,28-Sep-15
Pueblo sin suerte,2002,Beau Gillespie,Astrid Hadad,Gabriel Lopez,Crime,6.9,USA,15-Sep-02
The Homecoming of Jimmy Whitecloud,2001,Paul Winters,David Midthunder,Phil Becker,Action,4.9,USA,NA
The Prince of Tides,1991,None,Barbra Streisand,Nick Nolte,Drama,6.7,USA,25-Dec-91
Cut Off,2006,Gino Cabanas,Amanda Brooks,Thomas Ian Nicholas,Action,3.9,USA,NA
Crime + Punishment in Suburbia,2000,Rob Schmidt,Monica Keena,Ellen Barkin,Drama,5.9,USA,25-Aug-00
O'Hara's Wife,1982,William Bartman,Edward Asner,Mariette Hartley,Comedy,5.2,USA,Jan-84
Cold Feet,1989,Robert Dornhelm,Keith Carradine,Sally Kirkland,Comedy,4.7,USA,19-May-89
Good Time Max,2007,None,James Franco,Vince Jolivette,Drama,6.2,USA,30-Apr-07
Flowers Movie,2016,Jarrell Crump,Dennis Adams,Ray Barber,Drama,6.5,USA,30-Sep-16
Painted Desert,1993,Masato Harada,James Gammon,Nobu McCarthy,Drama,8.4,USA,NA
Red Tomahawk,1967,R.G. Springsteen,Howard Keel,Joan Caulfield,Action,5.3,USA,1-Jan-67
Pete Smalls Is Dead,2010,Alexandre Rockwell,Peter Dinklage,Mark Boone Junior,Comedy,5.1,USA,14-Apr-11
Anal Annie's All-Girl Escort Service,1990,Charles Webb,Kahlia,Heather O'Connell,Adult,6.2,USA,NA
Strange Events,2017,Albert Kwak,Becka Adams,Anthony Backman,Horror,4.2,USA,19-Sep-17
Confessions of a Womanizer,2014,Miguel Ali,C. Thomas Howell,Andrew Lawrence,Comedy,7.8,USA,14-Oct-16
Cloudy with a Chance of Sunshine,2016,None,Kevin Resnick,Sarah Navratil,Comedy,8.2,USA,16-Apr-16
Proteus: A Nineteenth Century Vision,2004,David Lebrun,James Warwick,Marian Seldes,Animation,8,USA,Jan-04
Ice Age: Dawn of the Dinosaurs,2009,Mike Thurmeier,Ray Romano,John Leguizamo,Action,7,USA,1-Jul-09
What We Do Is Secret,2007,Rodger Grossman,Shane West,Rick Gonzalez,Biography,6.5,USA,8-Aug-08
Preciosa,2012,Marcello Daciano,Francisco Ramirez,Jarema Osofsky,Drama,7.1,USA,25-May-12
Breath of Hate,2011,Sean Cain,Ezra Buzzington,Jason Mewes,Drama,4.6,USA,2015
Incoming Freshmen,1979,None,Rebecca Franklin,Ashley Vaughn,Comedy,5.1,USA,Aug-79
Constant Angel,2013,Jordan Warner,Brandon Machajewski,Max Antone,Adventure,8.6,USA,10-Nov-13
Soul Ties,2015,Victor Hobson,Rocsi Diaz,Flex Alexander,Drama,6.7,USA,2015
A Country Christmas,2013,Dustin Rikert,Joey Lauren Adams,William Shockley,Family,6,USA,27-Oct-13
...I Never Say No!,1983,Richard Mailer,Desiree Lane,Lynn Ray,Adult,6.4,USA,NA
My Little Baby,2017,Giorgio Bruno,John Ashton,Jeremy Sande,Drama,4.3,USA,24-Nov-17
The Civilization of Maxwell Bright,2005,David Beaird,Patrick Warburton,Marie Matiko,Drama,6.6,USA,28-Sep-07
Mansion of the Doomed,1976,Michael Pataki,Richard Basehart,Gloria Grahame,Horror,5.6,USA,Oct-76
Cinderfella,1960,Frank Tashlin,Jerry Lewis,Ed Wynn,Comedy,6,USA,18-Dec-60
The Uninvited,2009,Thomas Guard,Emily Browning,Arielle Kebbel,Drama,6.4,USA,30-Jan-09
Delivery: The Beast Within,2013,Brian Netto,Laurel Vail,Danny Barclay,Horror,5.4,USA,18-Jun-13
The Big Empty,2003,Steve Anderson,Jon Favreau,Joey Lauren Adams,Comedy,6.2,USA,28-Aug-09
Lunatics: A Love Story,1991,Josh Becker,Ted Raimi,Deborah Foreman,Comedy,6.3,USA,Sep-91
The von Trapp Family: A Life of Music,2015,Ben Verbong,Matthew Macfadyen,Eliza Bennett,Biography,6.5,USA,12-Nov-15
Teacher's Pet,2004,Timothy Bj̦rklund,Nathan Lane,Shaun Fleming,Animation,5.8,USA,16-Jan-04
Autumn's End,2015,Jerry J. White III,Raymond Creamer,Callie Ott,Horror,6.2,USA,1-Apr-16
If There's a Hell Below,2016,Nathan Williams,Carol Roscoe,Conner Marx,Drama,4.3,USA,24-Jan-16
The Young and the Foolish,1979,None,Tracy Walton,Mike Ranger,Adult,4.3,USA,1979
Journey to the Center of the Earth,1988,Albert Pyun,Nicola Cowper,Ilan Mitchell-Smith,Adventure,2.8,USA,30-Jul-88
Troma's War,1988,Lloyd Kaufman,Carolyn Beauchamp,Sean Bowen,Action,5.8,USA,18-Nov-89
D4,2011,Darrin Dickerson,Vicki Askew,Ella Bell,Action,3.8,USA,7-Jul-11
Man on a String,1960,Andr̩ De Toth,Ernest Borgnine,Kerwin Mathews,Action,6.4,USA,25-Mar-60
Reflection of the Soul,2013,None,Tom Smith,Adam Dierking,Action,7.1,USA,10-Oct-13
Edtv,1999,Ron Howard,Matthew McConaughey,Jenna Elfman,Comedy,6.1,USA,26-Mar-99
The Puppetoon Movie,1987,Arnold Leibovit,Paul Frees,Dal McKennon,Animation,7.1,USA,12-Jun-87
Lolly-Madonna XXX,1973,Richard C. Sarafian,Rod Steiger,Robert Ryan,Action,6.5,USA,25-Dec-74
Sam Dobbs,1972,None,Judy Angel,Buddy Boone,Adult,7.5,USA,NA
Don't Come Back from the Moon,2017,Bruce Thierry Cheung,James Franco,Rashida Jones,Drama,6.5,USA,20-Jun-17
Lust Weekend,1967,Henri Pachard,Gordon Lee,Margot Long,Drama,5.2,USA,15-Nov-67
Harold & Kumar Escape from Guantanamo Bay,2008,Hayden Schlossberg,John Cho,Kal Penn,Adventure,6.6,USA,25-Apr-08
Robin Hood,1973,Wolfgang Reitherman,Brian Bedford,Phil Harris,Adventure,7.6,USA,8-Nov-73
Call for Fire,2017,Sean Kinney,Rooster McConaughey,Butch Gilliam,War,9.7,USA,15-Nov-17
Lost at Sea,1995,None,Steve Sayre,Mark Cuban,Action,7.2,USA,NA
Obvious Child,2014,Gillian Robespierre,Jenny Slate,Jake Lacy,Comedy,6.8,USA,29-Aug-14
The Best and the Brightest,2010,Josh Shelov,Neil Patrick Harris,Amelia Talbot,Comedy,5,USA,16-Oct-10
Extortion,2017,None,Eion Bailey,Bethany Joy Lenz,Action,6.2,USA,17-May-17
Working Girls,1986,Lizzie Borden,Louise Smith,Ellen McElduff,Drama,6.5,USA,20-Mar-87
The Young Secretaries,1974,Richard Kanter,Jan Mitchell,John Barnum,Comedy,4.7,USA,19-Apr-75
"Karate, the Hand of Death",1961,None,Fujio Ito,Joel Holt,Drama,4.1,USA,9-Aug-61
Maggie's Plan,2015,Rebecca Miller,Greta Gerwig,Ethan Hawke,Comedy,6.2,USA,27-Apr-16
Off Season,2017,Robert Cole,Jessica Cadden Osborne,Chance Kelly,Drama,6.7,USA,30-Jul-17
Gabriela,2001,Vincent Jay Miller,Jaime Gomez,Seidy Lopez,Drama,6.9,USA,18-May-01
A Whisper in the Dark,2015,James Ian Mair,Johnathan Gorman,Cassandra Schomer,Thriller,4.9,USA,26-Apr-15
Should've Been Romeo,2012,Marc Bennett,Paul Ben-Victor,Edward Asner,Comedy,6.5,USA,28-Apr-12
Night of the Loup Garou,2010,Micah Ginn,Lauren Adams,Ace Atkins,Horror,7.3,USA,5-Feb-10
Special Needs,2006,None,Isaak James,Eva James,Comedy,6.8,USA,6-Oct-06
Flesh and Bone,1993,Steve Kloves,Dennis Quaid,Meg Ryan,Drama,6.2,USA,5-Nov-93
Black Rain,1989,Ridley Scott,Michael Douglas,Andy Garcia,Action,6.6,USA,22-Sep-89
Imperium,2016,Daniel Ragussis,Daniel Radcliffe,Toni Collette,Crime,6.5,USA,19-Aug-16
Under Liberty,2009,None,Devon Cummings,Ian McNew,Action,4.2,USA,18-Jun-09
House Arrest,2012,William Washington,Aki Aleong,Chico Benymon,Comedy,2.8,USA,11-Feb-12
"100,000 Zombie Heads",2012,Jose Figueroa,Marcia Battise,Aaron Craven,Sci-Fi,4.5,USA,NA
I Could Never Have Sex with Any Man Who Has So Little Regard for My Husband,1973,Robert McCarty,Carmine Caridi,Andrew Duncan,Comedy,4.4,USA,20-Jul-73
Hulk,2003,Ang Lee,Eric Bana,Jennifer Connelly,Action,5.7,USA,20-Jun-03
Peter and John,2015,Jay Craven,Jacqueline Bisset,Christian Coulson,Drama,7.2,USA,Jun-15
Trenchcoat,1983,Michael Tuchner,Margot Kidder,Robert Hays,Comedy,5.2,USA,11-Mar-83
Band of Robbers,2015,Aaron Nee,Kyle Gallner,Adam Nee,Adventure,6,USA,15-Apr-16
The Stand-In,1999,Roberto Monticello,Robbie Bryan,Daniel Margotta,Drama,5.9,USA,NA
"Hero, Lover, Fool",1996,Joe Ritter,Ron Jeremy,Jon Jacobs,Drama,6.2,USA,15-Nov-02
Misconduct,2016,None,Josh Duhamel,Anthony Hopkins,Crime,5.3,USA,5-Feb-16
Little Miss Magic,1998,Fred Olen Ray,Russ Tamblyn,Michelle Bauer,Comedy,3.4,USA,15-Apr-98
The Dead Next Door,1989,J.R. Bookwalter,Pete Ferry,Bogdan Pecic,Horror,5.2,USA,Nov-89
"Pizza, Pesos, and Pistoleros",2004,Andrew Wiest,Robert Bear,Brooke Brandt,Action,8.3,USA,10-Nov-04
Romantic Schemer,2015,None,Valentine,Diane Sorrentino,Romance,5.3,USA,4-Jul-15
"Chandar, the Black Leopard of Ceylon",1972,Winston Hibler,Ben Wright,Joe Abeywickrama,Adventure,6.6,USA,26-Nov-72
Comedy Hell,2006,Scott LaRose,Owen H.M. Smith,Victoria Pratt,Comedy,5.8,USA,Sep-06
Lassiter,1984,Roger Young,Tom Selleck,Jane Seymour,Action,5.9,USA,17-Feb-84
French Fries and Curry,2004,Sarmishtha Parida,Misha Ahluwalia,Erik Bello,Drama,1.8,USA,NA
Ghostlight,2013,None,Eden Campbell,Lisa Coronado,Drama,5,USA,3-Jun-14
Rebirth,2016,Karl Mueller,Fran Kranz,Adam Goldberg,Thriller,5,USA,15-Jul-16
Undone: A New Musical,2012,Maxwell Freudenthal,Sasha Andreev,Aimee Edwins,Musical,5,USA,3-Jun-12
Better Than Ever,1997,Uzo,William Hickey,Carl Gordon,Action,5.9,USA,NA
The Loss of Sexual Innocence,1999,Mike Figgis,Julian Sands,Saffron Burrows,Drama,5.4,USA,7-Jan-00
Blacktino,2011,Aaron Burns,Austin Marshall,Devyn Ray,Comedy,6.2,USA,11-Feb-13
The Final Cut,2004,Omar Naim,Robin Williams,Jim Caviezel,Drama,6.2,USA,15-Oct-04
The Mighty,1998,Peter Chelsom,Kieran Culkin,Elden Henson,Comedy,7.3,USA,30-Oct-98
The Hang Up,1969,John Hayes,Tony Vorno,Sharon Matt,Crime,6,USA,7-Dec-70
2 Jacks,2012,Bernard Rose,Sienna Miller,Izabella Miko,Comedy,4.8,USA,18-Oct-13
"Live Fast, Die Young",2008,Timothy A. Chey,Nicole Kingston,Sean Lawlor,Drama,8.2,USA,NA
Sin Padre,2012,Jay Francisco Lopez,Martin Cantu,Carlos Contreras,Drama,8.4,USA,14-Sep-12
Chainsaw Sally,2004,Jimmyo Burril,April Monique Burril,Mark Redfield,Comedy,4.6,USA,2-Oct-04
Rudderless,2014,William H. Macy,Billy Crudup,Anton Yelchin,Comedy,7.5,USA,21-Feb-15
Delta Force 2: The Colombian Connection,1990,Aaron Norris,Chuck Norris,John P. Ryan,Action,4.7,USA,24-Aug-90
Driftwood,1994,Tomas Mureika,Jeffrey Bertea,Mike Boivin,Drama,8.4,USA,21-Apr-94
The Clonus Horror,1979,Robert S. Fiveson,Peter Graves,Rick DiAngelo,Horror,3.4,USA,Aug-79
Murder101,2014,Michael Phillip Edwards,Tom Sizemore,Dante Basco,Thriller,4.5,USA,10-Jun-14
The Businessman,2014,Ivan Baltos,Jeff Knite,T.S.,Thriller,5.4,USA,11-Apr-14
Unstable Fables: 3 Pigs & a Baby,2008,Arish Fyzee,Jon Cryer,Brad Garrett,Animation,5.5,USA,Mar-08
Beyond the Lost World: The Alien Conspiracy III,2003,Tim Ritter,Tom Nondorf,Debbie Rochon,Sci-Fi,3.9,USA,21-Jan-03
Moving Alan,2003,Christopher Shelton,Marley Shelton,Samantha Shelton,Comedy,5.9,USA,2003
The Xterminator,1986,Michael Phillips,Patti Petite,Chanel Price,Adult,5,USA,1-Apr-86
Death Without Consent,2007,Vera Chawla,Chad Doreck,Sonya Vaswani,Drama,6.3,USA,2007
End of the Line,1987,Jay Russell,Kevin Bacon,Bob Balaban,Comedy,5.7,USA,28-Aug-87
Lethal Cowboy,1995,Rachel Gordon,Blake Adams,Blackwater,Action,6.1,USA,Sep-95
A Perfect Getaway,2009,David Twohy,Milla Jovovich,Steve Zahn,Adventure,6.5,USA,7-Aug-09
Comrades in Arms,1991,None,Lyle Alzado,Rick Washburn,Action,4.1,USA,30-Sep-92
Appetites,2015,Cameron Casey,James Duval,Jake Allyn,Horror,3.1,USA,4-Aug-15
Legend of the Phantom Rider,2002,Alex Erkiletian,Denise Crosby,Robert McRay,Action,5.2,USA,11-Feb-03
Stageghost,2000,Stephen Furst,Edward Albert,Christopher Atkins,Thriller,4.1,USA,NA
Four Eyed Monsters,2005,None,Susan Buice,Arin Crumley,Comedy,6.4,USA,23-Jan-05
Molly and Lawless John,1972,Gary Nelson,Vera Miles,Sam Elliott,Western,5.5,USA,1-Jan-73
Fucked in the Face,2000,Shawn Durr,Sarah Masters,Jamie Mayhew,Thriller,7.4,USA,20-Aug-00
Hellphone,2010,Jason Marc Pierce,April Billingsley,Nathan Moore,Comedy,6.8,USA,16-Nov-10
Gone Are the Days!,1963,Nicholas Webster,Ossie Davis,Ruby Dee,Comedy,6.8,USA,23-Sep-63
Happily Even After,2004,Unsu Lee,Jason Behr,Marina Black,Comedy,7,USA,3-May-04
Hollywoodburgh Shorts!,2013,Britney Tobin,Nathan Caywood,Christopher Donnellon,Comedy,6.4,USA,10-May-13
God of Thunder,2015,Thomas Shapiro,Julian Bane,Jenny Allford,Action,2.6,USA,22-Jun-15
Eight Lanes in Hamilton,1999,Aslam Amlani,Mickey Blaine,Joe J. Garcia,Drama,7,USA,2001
The Hurt Locker,2008,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Drama,7.6,USA,31-Jul-09
The Turkey Alibi,2007,None,Barbara Daniels,Nathan Freeman,Comedy,8.5,USA,29-Jul-07
WWE: The History of WrestleMania I-IX,2004,None,Harry Fujiwara,Brian Adams,Sport,5,USA,2-Feb-94
The Tender Warrior,1971,Stewart Raffill,Dan Haggerty,Charles Lee,Adventure,4.5,USA,Apr-71
The Genesis Children,1972,Anthony Aikman,Vincent Child,Greg Hill,Drama,5.3,USA,Aug-72
Peach Fuzz,1981,None,Billy Dee,Milton Ingley,Adult,6.6,USA,NA
ErOddity(s) 2,2015,Steven Vasquez,Walter Delmar,Edward Gutierrez,Drama,4.7,USA,24-Nov-15
Frogtown,2011,None,Kathleen Taylor,Alanna Blair,Drama,8,USA,22-Jun-11
Jouir De La Vie,2014,Cole Seidl,Casey Millard,Tatum Shay,Drama,7.3,USA,7-Apr-14
The Caterpillar's Kimono,2013,Bailey Kobe,Hailey Sole,Aja Evans,Comedy,7.7,USA,29-Jun-13
Dr. Christina of Sweden,1970,Nick Millard,Donna Young,Uschi Digard,Adult,4.1,USA,27-Dec-05
Broken Down,2012,Jay Taylor,Darren Lucas,Darren Lucas,Action,7.7,USA,20-Feb-12
Diabolique,1996,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani,Drama,5.3,USA,22-Mar-96
Navy SEALS v Demons,2017,Jeffrey Reyes,Tim Abell,Liana Mendoza,Action,4.6,USA,9-Jun-17
Luau Orgy,1980,None,Don Fernando,Ron Jeremy,Adult,7.1,USA,NA
